Cell Type,Accuracy%,Precision%,Recall%,Negative Predictive Value%,Specificity%,F1-score%
CellType 0,96.55172413793103,96.96969696969697,96.3855421686747,96.1038961038961,96.73202614379085,96.67673716012085
CellType 1,100.0,100.0,100.0,100.0,100.0,100.0
CellType 2,98.11912225705329,95.0,90.47619047619048,98.56630824372759,99.27797833935018,92.6829268292683
CellType 3,97.17868338557993,90.9090909090909,92.5925925925926,98.48484848484848,98.11320754716981,91.74311926605505
CellType 4,98.7460815047022,62.5,83.33333333333334,99.67845659163987,99.04153354632588,71.42857142857143
CellType 5,100.0,100.0,100.0,100.0,100.0,100.0
CellType 6,99.68652037617555,50.0,100.0,100.0,99.68553459119497,66.66666666666667
CellType 7,100.0,100.0,100.0,100.0,100.0,100.0
CellType 8,100.0,100.0,100.0,100.0,100.0,100.0
CellType 9,100.0,100.0,100.0,100.0,100.0,100.0
CellType 10,100.0,100.0,100.0,100.0,100.0,100.0
CellType 11,100.0,100.0,100.0,100.0,100.0,100.0
CellType 12,99.68652037617555,100.0,50.0,99.68553459119497,100.0,66.66666666666667
