Feature_Name,Score
Cd24a,0.4638939524165666
Sparc,0.4263290371934447
Hhex,0.4217862768010261
Clu,0.40670545437380135
Anxa2,0.40595749765228106
S100a16,0.3959213038371221
Col4a2,0.38681075795201325
Msn,0.3830018036565557
Col4a1,0.3791585563933153
Gc,0.36723750767392227
Igfbp7,0.36066605045884703
Vim,0.3599899031797058
Pecam1,0.35678687962769606
Cdh5,0.3534371776169647
Serpinh1,0.3534117647831585
Pmepa1,0.35244206716525284
Egfl7,0.349922550893659
Arg1,0.34940424732939857
Nfib,0.3491803654243357
Flt1,0.34722037549619955
