Feature_Name,Score
SOX10,129648.91234742528
CD93,5794.987848382346
ROBO4,3040.364026640726
COL3A1,1620.7964189888228
C1QC,1573.923843012277
SPARC,1531.3860016488125
KDR,1423.4304651763366
COL1A2,1421.9898988268985
PLVAP,1353.3700997112944
PDGFRB,1282.2680409944512
COL6A3,1266.6712533216962
BGN,1214.913382198981
LAPTM5,1109.7727465631226
VWF,1102.4879840886392
TYROBP,1058.40082349853
COL6A2,1026.6741184089901
SDS,1020.6307718826969
SOX18,953.4589438470532
ENG,912.7848307993493
FLT1,800.7260105668751
