Cell Type,Accuracy%,Precision%,Recall%,Negative Predictive Value%,Specificity%,F1-score%
CellType 0,98.64864864864865,83.78378378378379,96.875,99.7920997920998,98.76543209876543,89.85507246376811
CellType 1,95.75289575289575,99.01477832512316,90.9502262443439,93.65079365079364,99.32659932659934,94.81132075471699
CellType 2,99.8069498069498,100.0,96.0,99.79757085020243,100.0,97.95918367346938
CellType 3,99.61389961389962,98.88888888888889,98.88888888888889,99.76635514018692,99.76635514018692,98.88888888888889
CellType 4,99.8069498069498,100.0,99.10714285714286,99.75429975429975,100.0,99.55156950672647
CellType 5,100.0,100.0,100.0,100.0,100.0,100.0
CellType 6,99.61389961389962,71.42857142857143,100.0,100.0,99.61013645224172,83.33333333333333
CellType 7,97.49034749034749,57.692307692307686,88.23529411764706,99.59349593495935,97.80439121756487,69.76744186046511
CellType 8,100.0,100.0,100.0,100.0,100.0,100.0
CellType 9,99.8069498069498,0.0,,100.0,99.8069498069498,
CellType 10,99.8069498069498,50.0,100.0,100.0,99.80657640232108,66.66666666666667
CellType 11,100.0,100.0,100.0,100.0,100.0,100.0
CellType 12,99.8069498069498,0.0,,100.0,99.8069498069498,
CellType 13,99.8069498069498,0.0,,100.0,99.8069498069498,
