Cell Type,Accuracy%,Precision%,Recall%,Negative Predictive Value%,Specificity%,F1-score%
CellType 0,93.24324324324324,18.91891891891892,58.333333333333336,98.96049896049897,94.0711462450593,28.571428571428577
CellType 1,69.6911196911197,83.2512315270936,57.87671232876712,60.952380952380956,84.95575221238938,68.28282828282829
CellType 2,99.61389961389962,95.83333333333334,95.83333333333334,99.79757085020243,99.79757085020243,95.83333333333334
CellType 3,91.8918918918919,72.22222222222221,79.26829268292683,96.02803738317756,94.26605504587155,75.5813953488372
CellType 4,78.37837837837837,30.630630630630627,49.275362318840585,91.4004914004914,82.85077951002228,37.77777777777778
CellType 5,99.61389961389962,60.0,100.0,100.0,99.6116504854369,75.0
CellType 6,99.61389961389962,85.71428571428571,85.71428571428571,99.80430528375733,99.80430528375733,85.71428571428571
CellType 7,96.71814671814671,53.84615384615385,73.68421052631578,98.98373983739837,97.59519038076152,62.22222222222223
CellType 8,99.8069498069498,85.71428571428571,100.0,100.0,99.8046875,92.30769230769229
CellType 9,99.8069498069498,0.0,,100.0,99.8069498069498,
CellType 10,100.0,100.0,100.0,100.0,100.0,100.0
CellType 11,99.8069498069498,66.66666666666666,100.0,100.0,99.8062015503876,80.0
CellType 12,99.8069498069498,0.0,,100.0,99.8069498069498,
CellType 13,99.8069498069498,0.0,,100.0,99.8069498069498,
