Cell Type,Accuracy%,Precision%,Recall%,Negative Predictive Value%,Specificity%,F1-score%
CellType 0,99.42084942084942,97.2972972972973,94.73684210526315,99.58419958419958,99.79166666666667,95.99999999999999
CellType 1,99.03474903474904,99.50738916256158,98.05825242718447,98.73015873015873,99.67948717948718,98.77750611246942
CellType 2,99.61389961389962,91.66666666666666,100.0,100.0,99.59677419354838,95.65217391304347
CellType 3,99.42084942084942,100.0,96.7741935483871,99.29906542056075,100.0,98.36065573770492
CellType 4,99.61389961389962,100.0,98.23008849557522,99.5085995085995,100.0,99.10714285714286
CellType 5,100.0,100.0,100.0,100.0,100.0,100.0
CellType 6,100.0,100.0,100.0,100.0,100.0,100.0
CellType 7,99.22779922779922,84.61538461538461,100.0,100.0,99.19354838709677,91.66666666666666
CellType 8,99.8069498069498,85.71428571428571,100.0,100.0,99.8046875,92.30769230769229
CellType 9,99.8069498069498,0.0,,100.0,99.8069498069498,
CellType 10,100.0,100.0,100.0,100.0,100.0,100.0
CellType 11,99.8069498069498,100.0,75.0,99.80582524271846,100.0,85.71428571428571
CellType 12,99.8069498069498,0.0,,100.0,99.8069498069498,
CellType 13,99.8069498069498,0.0,,100.0,99.8069498069498,
