Feature_Name,Score
Cd24a,0.46308437090585786
Sparc,0.425915211327351
Hhex,0.4219538398847793
Clu,0.4063972010043373
Anxa2,0.40522980007953846
S100a16,0.3969438008247126
Col4a2,0.3877440039063642
Msn,0.38352199521526087
Col4a1,0.38037642931156856
Gc,0.36687668840543664
Vim,0.36173635579684316
Igfbp7,0.35978723158902737
Pecam1,0.35721558582547885
Serpinh1,0.35503540624569574
Cdh5,0.35377313606032024
Pmepa1,0.3520551251007107
Egfl7,0.3510714490491731
Arg1,0.34901627490182063
Nfib,0.34765832777857586
Flt1,0.3472082905700913
