Cell Type,Accuracy%,Precision%,Recall%,Negative Predictive Value%,Specificity%,F1-score%
CellType 0,69.90595611285266,75.15151515151514,69.27374301675978,64.28571428571429,70.71428571428572,72.09302325581396
CellType 1,100.0,100.0,100.0,100.0,100.0,100.0
CellType 2,80.87774294670847,27.500000000000004,25.581395348837212,88.5304659498208,89.4927536231884,26.50602409638554
CellType 3,80.25078369905955,36.36363636363637,41.66666666666667,89.39393939393939,87.08487084870849,38.83495145631069
CellType 4,96.86520376175548,0.0,0.0,99.35691318327974,97.47634069400631,
CellType 5,100.0,100.0,100.0,100.0,100.0,100.0
CellType 6,99.37304075235109,0.0,,100.0,99.37304075235109,
CellType 7,100.0,100.0,100.0,100.0,100.0,100.0
CellType 8,100.0,100.0,100.0,100.0,100.0,100.0
CellType 9,99.68652037617555,66.66666666666666,100.0,100.0,99.6845425867508,80.0
CellType 10,100.0,100.0,100.0,100.0,100.0,100.0
CellType 11,100.0,100.0,100.0,100.0,100.0,100.0
CellType 12,99.68652037617555,0.0,,100.0,99.68652037617555,
