Feature_Name,Score
TPSB2,13173.334278059656
TPSAB1,10123.44251672866
CPA3,3813.7918482795617
TRAC,1295.3357975814326
PECAM1,1261.300044745151
SPARC,1072.1688993959692
PLVAP,1068.1237085668338
SOX10,1021.7489275452064
PLA2G7,879.2263898985689
IFITM3,766.9058968705534
ENG,762.7305854069518
COL4A1,756.0030349076043
PNLIPRP1,726.2685095231924
C1QC,725.265030244068
PDGFRB,719.2705803472176
ACVRL1,711.645668476704
TYROBP,693.2538859689395
CD93,687.1758856431136
KLK1,679.8961580459079
RGS1,664.6662311744916
