Cell Type,Accuracy%,Precision%,Recall%,Negative Predictive Value%,Specificity%,F1-score%
CellType 0,100.0,100.0,100.0,100.0,100.0,100.0
CellType 1,98.96373056994818,99.23664122137404,98.48484848484848,98.73817034700315,99.36507936507937,98.8593155893536
CellType 2,98.96373056994818,95.3125,95.3125,99.41747572815534,99.41747572815534,95.3125
CellType 3,100.0,100.0,100.0,100.0,100.0,100.0
CellType 4,99.65457685664938,97.22222222222221,97.22222222222221,99.8158379373849,99.8158379373849,97.22222222222221
CellType 5,99.48186528497409,100.0,95.94594594594594,99.40944881889764,100.0,97.9310344827586
CellType 6,99.8272884283247,75.0,100.0,100.0,99.82638888888889,85.71428571428571
CellType 7,99.48186528497409,90.47619047619048,95.0,99.82078853046595,99.6422182468694,92.6829268292683
CellType 8,99.65457685664938,97.43589743589743,97.43589743589743,99.81481481481481,99.81481481481481,97.43589743589743
CellType 9,99.48186528497409,92.85714285714286,96.29629629629629,99.8185117967332,99.63768115942028,94.54545454545455
CellType 10,99.8272884283247,75.0,100.0,100.0,99.82638888888889,85.71428571428571
CellType 11,99.8272884283247,0.0,,100.0,99.8272884283247,
CellType 12,99.8272884283247,100.0,66.66666666666666,99.8266897746967,100.0,80.0
CellType 13,99.8272884283247,0.0,,100.0,99.8272884283247,
