Cell Type,Accuracy%,Precision%,Recall%,Negative Predictive Value%,Specificity%,F1-score%
CellType 0,99.8272884283247,96.875,100.0,100.0,99.81751824817519,98.41269841269842
CellType 1,98.61830742659758,98.85496183206108,98.10606060606061,98.42271293375394,99.04761904761905,98.47908745247149
CellType 2,99.13644214162349,100.0,92.7536231884058,99.02912621359224,100.0,96.2406015037594
CellType 3,99.65457685664938,85.71428571428571,100.0,100.0,99.64726631393297,92.30769230769229
CellType 4,99.3091537132988,91.66666666666666,97.05882352941177,99.8158379373849,99.44954128440368,94.28571428571428
CellType 5,98.79101899827289,97.1830985915493,93.24324324324324,99.01574803149606,99.60396039603961,95.17241379310344
CellType 6,99.48186528497409,50.0,66.66666666666666,99.82608695652175,99.65277777777779,57.14285714285714
CellType 7,99.3091537132988,80.95238095238095,100.0,100.0,99.28825622775801,89.4736842105263
CellType 8,99.8272884283247,100.0,97.5,99.81481481481481,100.0,98.73417721518987
CellType 9,99.8272884283247,100.0,96.55172413793103,99.8185117967332,100.0,98.24561403508771
CellType 10,99.8272884283247,75.0,100.0,100.0,99.82638888888889,85.71428571428571
CellType 11,100.0,100.0,100.0,100.0,100.0,100.0
CellType 12,99.65457685664938,50.0,50.0,99.8266897746967,99.8266897746967,50.0
CellType 13,99.8272884283247,0.0,,100.0,99.8272884283247,
