Feature_Name,Score
IFITM3,0.5259714457622158
IFITM2,0.4308406917120142
IGFBP7,0.3970226041265619
HLA-B,0.3902081235970756
TM4SF4,0.38971412654558923
SPARC,0.37315673802780136
VIM,0.37055156983870896
GPX3,0.3512776761751417
RBP4,0.35120566366459904
ENG,0.346801512298593
PCSK2,0.34084423398061237
SLC7A2,0.3353650431374753
TM4SF1,0.33401321546957563
IL32,0.32811654847194527
COL4A1,0.3269773024745306
RHOC,0.3256582549551359
COL18A1,0.32040005429659146
CD24,0.31579988199049236
IGFBP4,0.3128424416102433
PAX6,0.3102730606365438
