Cell Type,Accuracy%,Precision%,Recall%,Negative Predictive Value%,Specificity%,F1-score%
CellType 0,99.65457685664938,96.875,96.875,99.81718464351006,99.81718464351006,96.875
CellType 1,98.44559585492227,100.0,96.6789667896679,97.16088328075709,100.0,98.31144465290808
CellType 2,98.79101899827289,90.625,98.30508474576271,99.80582524271846,98.84615384615385,94.3089430894309
CellType 3,99.8272884283247,92.85714285714286,100.0,100.0,99.82332155477032,96.2962962962963
CellType 4,99.48186528497409,94.44444444444444,97.14285714285714,99.8158379373849,99.63235294117648,95.77464788732395
CellType 5,99.65457685664938,100.0,97.26027397260275,99.60629921259843,100.0,98.61111111111111
CellType 6,100.0,100.0,100.0,100.0,100.0,100.0
CellType 7,99.65457685664938,90.47619047619048,100.0,100.0,99.64285714285714,95.0
CellType 8,99.8272884283247,97.43589743589743,100.0,100.0,99.81515711645102,98.7012987012987
CellType 9,100.0,100.0,100.0,100.0,100.0,100.0
CellType 10,99.8272884283247,75.0,100.0,100.0,99.82638888888889,85.71428571428571
CellType 11,100.0,100.0,100.0,100.0,100.0,100.0
CellType 12,99.8272884283247,100.0,66.66666666666666,99.8266897746967,100.0,80.0
CellType 13,99.8272884283247,0.0,,100.0,99.8272884283247,
