Cell Type,Accuracy%,Precision%,Recall%,Negative Predictive Value%,Specificity%,F1-score%
CellType 0,96.55172413793103,98.7878787878788,94.76744186046511,94.15584415584416,98.63945578231292,96.73590504451037
CellType 1,100.0,100.0,100.0,100.0,100.0,100.0
CellType 2,98.11912225705329,87.5,97.22222222222221,99.6415770609319,98.23321554770318,92.10526315789473
CellType 3,97.4921630094044,94.54545454545455,91.22807017543859,98.10606060606061,98.85496183206108,92.85714285714286
CellType 4,98.7460815047022,50.0,100.0,100.0,98.73015873015873,66.66666666666667
CellType 5,99.68652037617555,95.0,100.0,100.0,99.66666666666667,97.43589743589743
CellType 6,99.68652037617555,100.0,66.66666666666666,99.6845425867508,100.0,80.0
CellType 7,100.0,100.0,100.0,100.0,100.0,100.0
CellType 8,100.0,100.0,100.0,100.0,100.0,100.0
CellType 9,99.68652037617555,100.0,75.0,99.68354430379746,100.0,85.71428571428571
CellType 10,100.0,100.0,100.0,100.0,100.0,100.0
CellType 11,99.68652037617555,0.0,,100.0,99.68652037617555,
CellType 12,99.68652037617555,0.0,,100.0,99.68652037617555,
